A UNO TEC SRL,4832,Mirandola
A&D Inspection,5360,"San Jose, CA"
A&D Precision Inc.,3578,"Fremont, CA"
A&S Mold and Die Corp.,1729,"Chatsworth, CA"
A.B. Sealer Inc.,5385,"Beaver Dam, WI"
A.J. Tuck Co.,267,"Brookfield, CT"
A.R. Arena Products Inc.,5011,"Rochester, NY"
A1 Webcams Inc.,4968,"Anaheim, CA"
AA Portable Power Corp./DBA Batteryspace.com,569,"Richmond, CA"
Abatek (Americas) Inc.,3236,"Duluth, GA"
ABB Inc.,4311,"Auburn Hills, MI"
Abiomed Inc.,429,"Danvers, MA"
Able Electropolishing Co.,2449,"Chicago, IL"
AbleMed,3341,"Ontario, CA"
ABM Equipment Co. Inc.,5322,"Vancouver, WA"
ABM Equipment Company Inc.,5322,"Vancouver, WA"
ABOX Automation Corp.,5024,"Pine Brook, NJ"
Absolute Haitian,3965,"Worcester, MA"
Absolute Robot,4065,"Worcester, MA"
ABX Engineering Inc.,339,"Burlingame, CA"
AC Mould Engineering Ltd.,944,Dongguan
Accede Mold,951,"Rochester, NY"
Accraply Inc.,5543,"Plymouth, MN"
Accu-Glass LLC,2356,"St. Louis, MO"
Accu-Seal SencorpWhite Inc.,5439,"San Marcos, CA"
Accumold®,2844,"Ankeny, IA"
Accuracy Machine,563,"Green Bay, WI"
Accuratus Lab Services,1352,"Eagan, MN"
AccuTEC Blades,1875,"Verona, VA"
Accutek Packaging Equipment Companies Inc.,4942,"Vista, CA"
ACE Controls Inc.,4261,"Farmington Hills, MI"
Acer/Supra Machine Tool,4483,"Fullerton, CA"
Achilles USA Inc.,2231,"Everett, WA"
Acquandas GmbH,719,Kiel
ACS Group,3861,"New Berlin, WI"
Acsys Lasertechnik US Inc.,482,"Lenexa, KS"
ACT-Vision,4580,"Santa Clara, CA"
Action Mold,3554,"Anaheim, CA"
Active Manufacturing,1444,"Spring Lake, MI"
Actmax International Company Ltd.,3556,Shenzhen
Ad Tape & Label Company Inc.,2451,"Menomonee Falls, WI"
Adams Campbell Co.,3579,"City of Industry, CA"
Adapter Technology Company Ltd.,1087,New Taipei City
Adar Services,4099,"Las Vegas, NV"
ADC Technologies Inc.,4800,"Ontario, CA"
Adcraft Labels,5276,"Anaheim, CA"
Adhesives Research Inc.,1755,"Glen Rock, PA"
ADMEDES GmbH,3301,Pforzheim
Adroit USA Inc,2193,"Pleasanton, CA"
Advance Mold and Manufacturing Inc.,1583,"Manchester, CT"
Advance Turning and Manufacturing,2882,"Jackson, MI"
Advanced Circuits Inc.,2075,"Aurora, CO"
Advanced Cooling Technologies Inc.,1987,"Lancaster, PA"
Advanced Integrated Technologies (AIT),2295,"Mountain View, AR"
Advanced Manufacturing Services Corp. (AMSC),3586,"Rancho Cucamonga, CA"
Advanced Materials Technologies Pte. Ltd.,436,Singapore
Advanced Motion Controls,4146,"Camarillo, CA"
ADVANCED Motion Controls,4146,"Camarillo, CA"
"Advanced Powder Products, Inc.",3389,"Philipsburg, PA"
Advanced Spectral Technology Inc.,947,"Simi Valley, CA"
Advanced Technology & Materials Company Ltd.,3197,Beijing
"AdvancedCath - Creganna Medical, part of TE Connectivity",3149,"San Jose, CA"
Advanex Americas Inc.,1663,"Cypress, CA"
Advant Medical Ltd.,2189,Galway
Advant Medical Ltd.,2189,Galway
Advantage Converting,1396,"San Carlos, CA"
Advantage Engineering Inc.,3801,"Greenwood, IN"
Advent Labelers / Codejet,5521,"Commerce, CA"
AEC,3861,"New Berlin, WI"
Aegis Software,3735,"Horsham, PA"
Aero-Plastics,223,"Renton, WA"
AeroMed Precision LLC,3271,"Salt Lake City, UT"
Aesus Packaging Systems Inc.,4929,"Pointe-Claire, QC"
Afinia Label,5326,"Chanhassen, MN"
AG Industries,1443,"Saint Louis, MO"
AGC Chemicals Americas Inc.,3170,"Exton, PA"
AIP Daytona,565,"Daytona Beach, FL"
Air & Water Systems,3886,"Charlotte, NC"
Air-Tite Products,1497,"Virginia Beach, VA"
Airwolf 3D,3745,"Cosa Mesa, CA"
AK Express,4098,"Las Vegas, NV"
Akribis Systems Inc.,4451,"San Jose, CA"
Akron Rubber Development Laboratory Inc.,2264,"Akron, OH"
Al Ahram Co. for Trading & Industry,5570,6 of October City
Alan Baird Industries,1089,"Hohokus, NJ"
ALBA Enterprises,3821,"Rancho Cucamonga, CA"
Albert Manufacturing USA,2046,"Gainesville, GA"
Alconox Inc.,1260,"White Plains, NY"
Alicona Corp.,3513,"Bartlett, IL"
Alinabal Corp.,3531,"Milford, CT"
All Barcode Systems Inc.,4974,"Westminster, CA"
All Bearing Solutions,4563,"Newbury Park, CA"
All Flex - Flexible Circuits and Heaters,535,"Northfield, MN"
All Packaging Machinery Corp.,5463,"Ronkonkoma, NY"
All Pro Technical Service Inc.,5594,"St. Charles, MO"
All Seals Inc.,2899,"Lake Forest, CA"
All-Fill Inc.,4921,"Exton, PA"
All4-PCB,961,"Glendale, CA"
"Allen Field Co., Inc.",5321,"Brightwaters, NY"
Allen Field Company Inc.,5321,"Brightwaters, NY"
Alliance Funding Group,4833,"Orange, CA"
Allied Technologies International Inc. (ATI),1672,"Tualatin, OR"
Alljack Technologies Inc.,611,Taipei
AllMotion,4559,"Union City, CA"
Allstate Can / Allcan West,5151,"Parsippany, NJ"
Allstrap Steel & Poly Strapping Systems,5097,"Columbus, OH"
Alpha Technics,2589,"Oceanside, CA"
Alpha Wire,1620,"Elizabeth, NJ"
Altech Corp.,3515,"Flemington, NJ"
Altos Photonics Inc.,1274,"Bozeman, MT"
Altron Inc.,1934,"Anoka, MN"
Altron Inc.,511,"Anoka, MN"
